Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,160.470001,160.949997,157.529999,159.410004,158.191467,944900
2020-01-03,158.029999,159.630005,157.250000,159.419998,158.201385,567000
2020-01-06,157.740005,158.889999,156.429993,156.800003,155.601410,880200
2020-01-07,156.899994,157.399994,152.410004,154.940002,153.755646,1129500
2020-01-08,154.850006,156.050003,153.139999,153.160004,151.989243,825700
2020-01-09,153.779999,153.979996,150.250000,152.869995,151.701447,1177400
2020-01-10,153.179993,153.500000,148.610001,149.009995,147.870941,1416100
2020-01-13,145.330002,147.000000,142.759995,145.259995,144.149628,2138700
2020-01-14,145.589996,149.080002,144.339996,148.899994,147.761795,1568400
2020-01-15,149.580002,151.490005,147.820007,150.210007,149.061798,1208800
2020-01-16,150.740005,152.000000,150.100006,151.940002,150.778549,677000
2020-01-17,151.779999,152.080002,150.360001,151.050003,149.895370,817400
2020-01-21,150.619995,150.619995,147.860001,149.000000,147.861038,797300
2020-01-22,148.869995,149.979996,146.809998,147.649994,146.521362,1204300
2020-01-23,146.070007,150.130005,145.970001,149.729996,148.585449,1312600
2020-01-24,150.000000,150.000000,141.210007,141.679993,140.596985,1277100
2020-01-27,139.889999,141.660004,139.059998,139.059998,137.997025,937300
2020-01-28,139.779999,140.240005,137.369995,138.580002,137.520691,924000
2020-01-29,139.050003,140.429993,138.100006,138.550003,137.490921,913400
2020-01-30,136.949997,137.479996,133.429993,135.270004,134.235992,1018300
2020-01-31,134.339996,134.589996,131.500000,131.750000,130.742889,1280700
2020-02-03,132.779999,134.410004,132.339996,132.649994,131.636017,1014200
2020-02-04,134.089996,134.630005,131.539993,131.559998,130.554321,822300
2020-02-05,132.710007,137.639999,132.250000,137.020004,135.972595,1199400
2020-02-06,137.130005,137.339996,133.970001,134.369995,133.342865,873000
2020-02-07,134.000000,134.380005,131.130005,132.929993,131.913864,895500
2020-02-10,132.169998,132.289993,129.940002,130.679993,129.681061,780800
2020-02-11,130.960007,132.839996,130.789993,132.110001,131.100159,558100
2020-02-12,132.889999,134.789993,132.539993,134.320007,133.293259,595100
2020-02-13,133.779999,136.169998,133.169998,134.669998,133.640579,949700
2020-02-14,134.750000,134.750000,131.559998,133.589996,132.568817,1122500
2020-02-18,145.389999,150.660004,140.759995,141.809998,140.725998,2881700
2020-02-19,141.509995,142.419998,137.740005,140.119995,139.048920,1015600
2020-02-20,140.149994,142.860001,139.539993,142.479996,141.390854,671600
